PickID,PickDate,Remark,VANCode,TotalWeight,Status,BranchCode,DocEntry,DocNum,CardCode,CardName,ItemCode,Description,Quantity,UoM,ItemWeight,WhsCode,U_DocNum
00120251204055520713,12/5/2025,NOKL SHOP-44,VO99045,173.34,C,001,5379410,8379409,C00129445,???????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),90,streamer,28.5,DC-YGN01,00120251204123059790
00120251204055350787,12/5/2025,SPT                 Inv;24,VO99037,152.53,C,001,5379412,8379411,C00111298,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204123101983
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379423,8379422,C00114656,?????????????? (?),4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),3,streamer,0.95,DC-YGN01,00120251204124309627
00120251204055520713,12/5/2025,NOKL SHOP-44,VO99045,173.34,C,001,5379422,8379421,C00142739,???????? ??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),90,streamer,28.5,DC-YGN01,00120251204124308397
00120251204055520713,12/5/2025,NOKL SHOP-44,VO99045,173.34,C,001,5379422,8379421,C00142739,???????? ??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204124308397
00120251204055312437,12/5/2025,HL/KMY                  Inv;21,VO99032,71.52,C,001,5379365,8379364,C00111124,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204121232690
00220251204030608007,12/5/2025,INV(19),VO99040,140.01,C,002,5379376,8379375,C00202367,????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),150,streamer,47.5,WH-MDY01,00220251204121653610
00220251204030608007,12/5/2025,INV(19),VO99040,140.01,C,002,5379376,8379375,C00202367,????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,WH-MDY01,00220251204121653610
00120251204055150310,12/5/2025,AL/BH/KMD/SC                         Inv;17,VO99004,207.16,C,001,5379381,8379380,C00102542,Grace Mart,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204121848673
01620251204041102773,12/5/2025,"Inv-14, Bago, WAW",VO99083,207.85,C,016,5379383,8379382,C01603618,Ma Htet Htet(1),4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-BGO99,01620251204121941917
00120251204055453930,12/5/2025,NDG/EDG                 Inv;19,VO99043,65.06,C,001,5379378,8379377,C00121159,?????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204121844660
00220251204030608007,12/5/2025,INV(19),VO99040,140.01,C,002,5379390,8379389,C00200466,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),10,streamer,3.166667,WH-MDY01,00220251204122257340
00620251204032832147,12/5/2025,V54(1),VO99054,31.89,C,006,5379307,8379306,C00603660,?????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,WH-TGI02,00620251204114612233
01620251204035823093,12/5/2025,"Inv-18, Bago, Thatnatpin, Minywar",VO99082,101.93,C,016,5379309,8379308,C01600842,Ko Aung Pyae,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,WH-BGO99,01620251204114614730
00120251204055355003,12/5/2025,MGLD SHOP-11,VO99061,170.32,C,001,5379301,8379300,C00127664,????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204114135443
00220251204030447237,12/5/2025,INV(24),VO99017,270.54,C,002,5379297,8379296,C00202916,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-MDY01,00220251204114046300
00220251204030419380,12/5/2025,INV(12),VO99016,49.15,C,002,5379298,8379297,C00203828,???????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-MDY01,00220251204114047353
00120251204055453930,12/5/2025,NDG/EDG                 Inv;19,VO99043,65.06,C,001,5379260,8379259,C00113515,???????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204113221900
00220251204030419380,12/5/2025,INV(12),VO99016,49.15,C,002,5379252,8379251,C00207210,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,WH-MDY01,00220251204113144123
00120251204055150310,12/5/2025,AL/BH/KMD/SC                         Inv;17,VO99004,207.16,C,001,5379241,8379240,C00104768,Spirit,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204112910483
00120251204055433497,12/5/2025,TKT-PZD                  Inv;35,VO99042,125.77,C,001,5379240,8379239,C00145035,Shwe Popa,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204112909650
00120251204055333027,12/5/2025,MYG                Inv;23,VO99035,88.27,C,001,5379207,8379206,C00142741,?????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),3,streamer,0.95,DC-YGN01,00120251204112249107
00120251204055333027,12/5/2025,MYG                Inv;23,VO99035,88.27,C,001,5379204,8379203,C00101132,?????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),3,streamer,0.95,DC-YGN01,00120251204112243750
00220251204030419380,12/5/2025,INV(12),VO99016,49.15,C,002,5379197,8379196,C00211403,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,WH-MDY01,00220251204111939357
00120251204055303940,12/5/2025,TGG SHOP-29,VO99106,118.32,C,001,5379175,8379174,C00134897,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204111321153
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379176,8379175,C00142267,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204111323190
00120251204055312437,12/5/2025,HL/KMY                  Inv;21,VO99032,71.52,C,001,5379183,8379182,C00131117,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),1,streamer,0.316667,DC-YGN01,00120251204111630263
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379206,8379205,C00139202,????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),60,streamer,19,DC-YGN01,00120251204112247940
