Item Code,Item Name,Is Active,Principal,Brand,UOM,Purchase Weight,Transportation Cost
0105112002,Gillette Blue II Plus dis  5 sent(1 x144Pcs),Active,P&G,Gillette,144,8.73,850
0105112004,Gillette Super Thin 2 dis 24 Fxd Blade(1x288pcs),Active,P&G,Gillette,288,2.95,850
0105113001,Gillette Super Click Razor(1x144pcs),Active,P&G,Gillette,144,2.84,850
0105113002,Gillette Super Thin Blade 5+1(1x1000Pcs),Active,P&G,Gillette,"1,000",7.48,850
0105114002,Gillette MACH 3  Turbo 1 Up(1x30pcs),Active,P&G,Gillette,30,2.02,850
0105114004,Gillette Vector Plus 1 Up (1x144Pcs),Active,P&G,Gillette,144,5.73,850
0105114007,Gillette Fusion Manual Razor(1x16Pcs),Active,P&G,Gillette,16,2.08,850
0107112019,Olay Total Effects UV Normal Cream SPF-15  50g (1X6),Active,P&G,Olay,6,0.8,850
0107112031,Olay Natural White Light Night Shine 50g (1X24),Active,P&G,Olay,24,2.8,850
0107112034,Olay Natural White Light 50g (1X24),Active,P&G,Olay,24,3.18,850
0106121056,Head & Shoulder-300ml (Silky Smooth)(1x12Pcs),Active,P&G,Head&Shoulder,12,4.9,850
0106121058,Head & Shoulder-300ml (Menthol)(1x12Pcs),Active,P&G,Head&Shoulder,12,4.9,850
0107114003,Olay Regenerist Serum  50ml (1X6),Active,P&G,Olay,6,0.65,850
0107114006,Olay Regenerist Micro-Sculpting Serum 50ml(1x6Pcs),Active,P&G,Olay,6,0.65,850
0107114009,Olay Total Effects Serum 50ml (1x6),Active,P&G,Olay,6,6.5,850
0108120043,Oral B Multi Brush set(1x24Pcs),Active,P&G,Oral-B,24,1.01,850
0108211001,Oral B All Rounder MICROTHIN CLN 40XS AS(1x96Pcs),Active,P&G,Oral-B,96,2.53,850
0108211003,Oral B Classic 40 Soft TB(1x96Pcs),Active,P&G,Oral-B,96,2.26,850
0108211007,Oral B Complete Easy Clean 40 Medium BCd(1x96Pcs),Active,P&G,Oral-B,96,2.53,850
0108211012,Oral B Cross ProHlth Clinic Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,3.19,850
0108211013,Oral B Cross ProHlth Clinic Soft 3 BCd(1x96Pcs),Active,P&G,Oral-B,96,8.61,850
0108211014,Oral B Cross Action ProHlth 7 Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,2.67,850
0108211015,Oral B Cross Action ProHlth 7 Soft 3 BCd(1x96Pcs),Active,P&G,Oral-B,96,7.06,850
0108211016,Oral B Interdental Kit BCd(1x24Pcs),Active,P&G,Oral-B,24,0.67,850
0108211017,Oral B Stage 8 Yrs+ Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,3.23,850
0108211019,Oral B Stage 2-4 Yrs Mickey/Minnie Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,2.2,850
0108211020,Oral B Stage 4-24 Mth Disney Baby Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,2.2,850
0108211021,Oral B Shiny Clean 35 Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,2.05,850
0108211022,Oral B Ultra Thin Black Tea Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,3.17,850
0108211023,Oral B Ultra Thin Black Tea Soft 3 BCd(1x96Pcs),Active,P&G,Oral-B,96,7.85,850
0108211024,Oral B Ultra Thin Pro Deep Clean Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,3.17,850
0108211025,Oral B Ultra Thin Pro Deep Clean Soft 3 BCd(1x96Pcs),Active,P&G,Oral-B,96,7.85,850
0108211026,Oral B Ultra Thin Green Tea Soft BCd(1x96Pcs),Active,P&G,Oral-B,96,3.17,850
0108211027,Oral B Ultra Thin Green Tea Soft 3 BCd(1x96Pcs),Active,P&G,Oral-B,96,7.86,850
0108311001,Oral B Power Refill Precision Clean 2s(1x24Pcs),Active,P&G,Oral-B,24,0.97,850
0108311002,Oral B Power Pro 500 Power Handle(1x6Pcs),Active,P&G,Oral-B,6,2.14,850
0108311004,Oral B Power Refill Cross Action 2s(1x24Pcs),Active,P&G,Oral-B,24,1,850
0301122003,BEC1.5oz(1x72),Active,Suntory Beverage,BEC,72,9.64,850
0301122005,BEC2.5oz(1x72),Active,Suntory Beverage,BEC,72,12.86,850
0301112003,BBN1.5oz(1x48),Active,Suntory Beverage,BBN,48,6.24,850
0301112004,BNSF 1.5 oz (1x48Pcs),Active,Suntory Beverage,BBN,48,6.24,850
0301112005,BBN2.5oz(1x48),Active,Suntory Beverage,BBN,48,8.51,850
0301112006,BNSF 2.5 oz (1x48Pcs),Active,Suntory Beverage,BBN,48,8.51,850
0502111003,Nescafe Gold Blend 200g (8x200g),Active,Nestrade,Nescafe Gold,8,5.37,850
0701104007,NONG SHIM Shin Ramyun Hot  Spicy Noodle 120g (1x40),Active,Nong Shim,NONG SHIM,40,5.83,850
0701104010,NONG SHIM Neoguri Seafood Spicy Noodle 120g (1x20),Active,Nong Shim,NONG SHIM,20,2.87,850
0701104013,NONG SHIM Chapaghetti Noodle 140g (1x40),Active,Nong Shim,NONG SHIM,40,6.25,850
0701104014,NONG SHIM Chapaghetti Spicy Noodle 137g (1x40),Active,Nong Shim,NONG SHIM,40,6.15,850
1221102001,Active GSM E-Top Up,Active,MPT,Top-up,1,0,850
1222401001,Active WCDMA SimCard,Active,MPT,Sim,1,0,850
1222401002,Sim Card WCDMA (Blank SIM),Active,MPT,Sim,1,0,850
1222401004,Sim Card WCDMA (Blank SIM-Lost and Damage Card),Active,MPT,Sim,1,0,850
1211101001,Empty GSM TP 5000,Active,MPT,Top-up,1,0,850
1211101002,Empty GSM TP 10000,Active,MPT,Top-up,1,0,850
1211101003,Empty GSM TP 1000,Active,MPT,Top-up,1,0,850
1211101004,Empty GSM TP 3000,Active,MPT,Top-up,1,0,850
1211201001,Empty CDMA-800 TP 5000,Active,MPT,Top-up,1,0,850
1211201002,Empty CDMA-800 TP 10000,Active,MPT,Top-up,1,0,850
1211301001,Empty CDMA-450 TP 5000,Active,MPT,Top-up,1,0,850
1211301002,Empty CDMA-450 TP 10000,Active,MPT,Top-up,1,0,850
1221101001,Active GSM TP 5000,Active,MPT,Top-up,1,0,850
1221101002,Active GSM TP 10000,Active,MPT,Top-up,1,0,850
1221101004,Active GSM TP 3000,Active,MPT,Top-up,1,0,850
1221101006,Active GSM TP 1000 (QR),Active,MPT,Top-up,1,0,850
1103213009,Oreo Sandwich Cookies Chocolate Cream-119.6gm (1x24Pcs),Active,MDLZ,Oreo,24,3.67,850
1103213014,Oreo Sandwich Cookies Vanilla Cream-27.6gm (1x9x12Packs),Active,MDLZ,Oreo,12,3.94,850
1103213017,Oreo Sandwich Cookies Chocolate Cream-26.25gm (12x12Packs),Active,MDLZ,Oreo,12,4.8,850
1103213018,Oreo Sandwich Cookies Vanilla Cream-26.25gm (12x12Packs),Active,MDLZ,Oreo,12,4.8,850
0801111011,Philips Tornado Cool daylight 24W E27 220-240V(1x12Pcs),Active,Philips,Philips,12,1.5,850
0801111012,Philips Tornado Warm White 24W E27 220-240V Energy Saver(1x12Pcs),Active,Philips,Philips,12,1.5,850
0801111026,Philips Tornado Cool daylight 24W B22 220-240V(1x12Pcs),Active,Philips,Philips,12,1.48,850
0801112002,Philips Brightboost Super 80 Tubelight TL-D 36W/865(1x25Pcs),Active,Philips,Philips,25,4.65,850
0801112004,Philips Lifemax Tubelight TL-D 36W/54-765(1x25Pcs),Active,Philips,Philips,25,4.65,850
0801112007,Philips Brightboost Super 80 Tubelight TL-D 36W/840(1x25Pcs),Active,Philips,Philips,25,4.6,850
0801114001,Philips Essential Cool Daylight TCH086 TL5-28W/865(1x24pcs),Active,Philips,Philips,24,8.47,850
1901111001,Equal Classic 15`S 15g (1x36),Active,Merisant,Equal,36,0.98,850
1901111002,Equal Classic 25`S 25g (1x36),Active,Merisant,Equal,36,2.91,850
1901111003,Equal Classic 50`S 50g (1x12),Active,Merisant,Equal,12,1.01,850
1901111004,Equal Classic 100`S 100g (1x36),Active,Merisant,Equal,36,6.03,850
1901311001,Equal Gold 50`S 40G(1x12),Active,Merisant,Equal,12,1.01,850
1901311002,Equal Gold 150g (Sugarly) (1x12),Active,Merisant,Equal,12,2.36,850
1901411002,Equal Stevia 40`S 80g (1x6),Active,Merisant,Equal,6,0.8,850
1901411003,Equal Stevia 100`S 200g (1x12),Active,Merisant,Equal,12,3.3,850
2001111001,1 Stop E Money,Active,1 Stop,Top-up,1,0,850
2101111002,Healthy Chef Soybean 1L (1x12),Active,TVO,Healthy Chef,12,11.9,850
2101111005,Healthy Chef Sunflower 1L (1x12),Active,TVO,Healthy Chef,12,12.1,850
